OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
265,1029,728,-20,897,-17,201,14,2023-02-16 14:46:16
387,1985,1404,30,882,0,307,11,2023-02-16 14:48:18
378,2007,1420,24,569,-6,313,11,2023-02-16 14:49:48
392,2518,1781,1,799,13,381,20,2023-02-16 14:51:19
417,2490,1761,-9,737,5,430,10,2023-02-16 14:55:24
416,2432,1720,0,931,6,405,59,2023-02-16 14:56:23
347,2314,1637,-16,928,7,370,11,2023-02-16 14:58:15
366,2392,1692,-17,895,7,396,22,2023-02-16 15:00:43
349,2311,1635,-6,665,5,404,9,2023-02-16 15:02:15
418,2475,1751,-6,914,5,424,40,2023-02-16 15:03:50
383,2440,1726,4,927,2,412,36,2023-02-16 15:04:18
357,2318,1640,-9,975,2,413,19,2023-02-16 15:05:16
384,2382,1685,-25,924,-3,443,16,2023-02-16 15:09:21
348,2309,1633,-5,980,-1,424,13,2023-02-16 15:11:11
336,2212,1565,-41,679,4,402,14,2023-02-16 15:18:13
337,2224,1573,-29,854,2,419,16,2023-02-16 15:18:48
341,2248,1590,-40,799,2,395,15,2023-02-16 15:20:17
334,2181,1543,-38,567,2,383,14,2023-02-16 15:22:19
343,2297,1625,-21,717,4,400,12,2023-02-16 15:22:51
377,2464,1743,-9,569,0,411,11,2023-02-16 15:24:21
358,2310,1634,26,979,2,417,13,2023-02-16 15:25:18
379,2364,1672,-8,957,3,425,11,2023-02-16 15:33:12
346,2277,1611,6,993,3,405,17,2023-02-16 15:33:48
331,2214,1566,-45,669,1,383,10,2023-02-16 15:37:15
358,2450,1733,-19,769,3,389,13,2023-02-16 15:38:21
335,2263,1601,-20,763,1,399,8,2023-02-16 15:38:45
379,2402,1699,-8,942,1,398,14,2023-02-16 15:40:17
356,2241,1585,5,1010,0,423,14,2023-02-16 15:40:46
317,2106,1490,-29,839,-2,378,8,2023-02-16 15:43:11
337,2188,1548,-18,645,4,377,20,2023-02-16 15:45:47
343,2268,1604,-8,698,2,377,26,2023-02-16 15:47:22
320,2170,1535,-6,578,6,353,15,2023-02-16 15:49:54
354,2246,1589,-18,519,4,363,17,2023-02-16 15:51:43
385,1925,1362,-10,851,-2,323,20,2023-02-16 15:54:19
351,2058,1456,13,713,-3,333,28,2023-02-16 15:56:15
352,2371,1677,4,674,10,352,14,2023-02-16 16:01:49
356,2285,1616,6,668,5,344,14,2023-02-16 16:05:22
371,2074,1467,31,916,5,320,18,2023-02-16 16:07:12
397,2038,1442,-3,864,0,329,16,2023-02-16 16:07:40
386,1726,1221,-18,791,-1,305,8,2023-02-16 16:12:40
380,1696,1200,-13,680,-5,312,15,2023-02-16 16:13:43
372,2119,1499,11,708,1,329,10,2023-02-16 16:14:47
365,2229,1577,28,610,4,317,8,2023-02-16 16:17:51
385,1941,1373,5,90,-4,310,9,2023-02-16 16:18:41
356,2396,1695,60,904,9,349,9,2023-02-16 16:22:40
375,2160,1528,0,389,2,335,11,2023-02-16 16:24:19
338,2099,1485,5,609,2,322,7,2023-02-16 16:24:49
351,2194,1552,23,595,5,318,11,2023-02-16 16:25:52
364,1626,1150,7,635,-6,273,15,2023-02-16 16:27:18
368,2324,1644,28,672,4,325,14,2023-02-16 16:28:45
357,2238,1583,15,743,5,334,13,2023-02-16 16:31:45
350,2259,1598,21,584,7,329,13,2023-02-16 16:33:21
370,2208,1562,16,441,1,323,9,2023-02-16 16:36:10
383,1716,1214,17,576,-2,275,26,2023-02-16 16:40:10
370,2265,1602,24,508,1,322,14,2023-02-16 16:40:42
347,2345,1659,8,583,10,334,9,2023-02-16 16:41:11
379,2419,1711,9,439,4,336,12,2023-02-16 16:42:50
353,2345,1659,24,782,19,331,11,2023-02-16 16:49:49
330,1628,1152,-13,433,-6,283,13,2023-02-16 16:50:45
344,2314,1637,22,621,18,319,7,2023-02-16 16:52:10
338,2055,1454,28,585,1,296,12,2023-02-16 16:52:45
359,2259,1598,23,571,9,314,10,2023-02-16 16:53:11
352,2256,1596,39,720,17,309,11,2023-02-16 16:54:48
383,2000,1415,0,857,-5,307,15,2023-02-16 16:55:45
390,1759,1244,-27,590,-10,307,58,2023-02-16 17:00:50
373,1807,1278,0,765,-4,277,9,2023-02-16 17:01:20
367,1674,1184,0,616,-4,265,11,2023-02-16 17:03:22
454,2047,1448,7,790,-2,306,57,2023-02-16 17:04:49
361,2269,1605,20,646,7,327,11,2023-02-16 17:08:40
370,2079,1471,36,791,1,303,13,2023-02-16 17:09:15
403,1971,1394,7,703,1,306,26,2023-02-16 17:09:41
395,1890,1337,12,711,2,287,15,2023-02-16 17:14:45
399,1975,1397,15,621,-1,294,10,2023-02-16 17:19:44
371,2259,1598,30,755,10,310,18,2023-02-16 17:22:22
381,2270,1606,17,690,10,322,7,2023-02-16 17:23:49
372,2277,1611,24,712,11,313,11,2023-02-16 17:24:50
338,1730,1224,-10,138,-3,296,12,2023-02-16 17:26:15
361,2379,1683,36,807,18,337,24,2023-02-16 17:27:20
396,1934,1368,7,812,0,296,11,2023-02-16 17:28:19
378,2525,1786,38,742,20,329,13,2023-02-16 17:31:15
368,2285,1616,20,705,10,326,20,2023-02-16 17:33:15
370,2300,1627,19,645,7,326,17,2023-02-16 17:36:20
371,2242,1586,26,586,8,310,22,2023-02-16 17:36:46
373,2225,1574,9,656,14,315,14,2023-02-16 17:39:18
353,2303,1629,31,851,10,349,8,2023-02-16 17:40:21
368,2235,1581,11,444,8,328,19,2023-02-16 17:41:12
359,2162,1529,9,531,4,315,25,2023-02-16 17:43:15
362,2467,1745,25,591,17,335,13,2023-02-16 17:44:16
366,2432,1720,24,827,15,340,8,2023-02-16 17:46:12
357,2174,1538,16,638,7,329,13,2023-02-16 17:55:17
