OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
212,1023,724,-6,501,-19,102,13,2023-02-16 12:45:24
206,873,618,-34,480,-8,93,14,2023-02-16 12:49:11
217,1073,759,-13,394,-31,103,11,2023-02-16 12:49:41
208,913,646,-16,539,-11,98,12,2023-02-16 12:50:42
206,900,637,-17,568,-7,98,14,2023-02-16 12:53:47
199,872,617,-29,506,-6,96,12,2023-02-16 12:55:50
201,885,626,-31,465,-9,95,15,2023-02-16 12:58:48
240,1068,756,-9,408,-35,105,11,2023-02-16 13:02:43
237,1027,727,-12,387,-36,103,15,2023-02-16 13:04:11
243,1054,746,-8,409,-36,104,11,2023-02-16 13:06:14
209,926,655,-30,522,-12,98,16,2023-02-16 13:06:49
211,1054,746,7,487,-23,98,7,2023-02-16 13:08:45
233,1182,836,-21,409,-28,110,14,2023-02-16 13:13:22
205,933,660,-29,518,-14,95,12,2023-02-16 13:15:47
218,1068,756,0,450,-23,99,12,2023-02-16 13:18:29
247,1118,791,-1,385,-37,109,11,2023-02-16 13:18:30
224,1135,803,-21,359,-30,104,12,2023-02-16 13:18:30
211,1013,717,-10,417,-24,98,17,2023-02-16 13:19:54
220,1088,770,6,419,-41,104,9,2023-02-16 13:21:11
218,1111,786,-3,343,-38,102,12,2023-02-16 13:21:45
241,1026,726,-20,506,-25,102,14,2023-02-16 13:24:44
241,1091,772,-11,401,-39,109,17,2023-02-16 13:27:18
213,1067,755,5,498,-33,100,12,2023-02-16 13:29:45
229,1122,794,-10,378,-36,106,18,2023-02-16 13:32:17
239,1063,752,2,421,-43,106,9,2023-02-16 13:36:50
254,1141,807,-4,364,-40,108,22,2023-02-16 13:37:19
233,1095,775,-4,391,-38,107,9,2023-02-16 13:37:45
222,1114,788,-12,375,-36,103,9,2023-02-16 13:38:52
225,957,677,-27,500,-16,103,9,2023-02-16 13:49:47
215,1030,729,-10,395,-29,101,18,2023-02-16 13:53:43
215,1030,729,-10,395,-29,101,18,2023-02-16 13:54:01
260,1162,822,-4,415,-33,110,16,2023-02-16 13:54:48
209,890,630,-25,532,-11,104,21,2023-02-16 14:00:45
212,923,653,-6,525,-23,97,16,2023-02-16 14:07:47
224,1043,738,-7,428,-31,102,22,2023-02-16 14:08:46
236,1032,730,0,399,-34,103,13,2023-02-16 14:09:10
241,1011,715,-11,482,-28,102,13,2023-02-16 14:12:25
220,1074,760,-18,398,-37,101,12,2023-02-16 14:13:10
222,1006,712,-6,410,-37,101,9,2023-02-16 14:15:10
210,927,656,-28,485,-13,97,17,2023-02-16 14:16:15
239,1083,766,-5,382,-40,105,11,2023-02-16 14:17:49
213,948,671,-17,498,-9,99,11,2023-02-16 14:18:19
217,1068,756,-3,415,-28,101,19,2023-02-16 14:25:15
225,1080,764,-15,368,-35,106,19,2023-02-16 14:26:51
225,1117,790,-8,391,-37,107,10,2023-02-16 14:27:42
214,1060,750,2,442,-39,103,13,2023-02-16 14:28:40
225,1091,772,-1,389,-37,103,17,2023-02-16 14:32:11
214,1032,730,-14,393,-36,101,12,2023-02-16 14:32:49
230,1128,798,-11,405,-28,106,19,2023-02-16 14:36:44
246,1008,713,-9,535,-28,108,13,2023-02-16 14:38:17
253,1100,778,-11,432,-41,113,9,2023-02-16 14:38:52
218,913,646,-8,566,-11,104,11,2023-02-16 14:40:45
250,1112,787,-2,345,-48,113,15,2023-02-16 14:45:46
163,653,462,0,562,0,68,10,2023-02-16 14:46:16
244,1076,761,-3,396,-40,112,11,2023-02-16 14:48:18
252,1166,825,-9,394,-41,113,14,2023-02-16 14:49:48
216,998,706,14,490,-18,101,15,2023-02-16 14:51:19
218,968,685,37,621,-7,95,14,2023-02-16 14:55:24
222,1036,733,14,496,-24,106,13,2023-02-16 14:56:23
221,1037,734,7,493,-26,102,20,2023-02-16 14:58:15
213,1009,714,21,529,-16,104,11,2023-02-16 15:00:43
217,1027,727,22,588,-22,106,14,2023-02-16 15:02:15
217,971,687,32,594,-15,104,14,2023-02-16 15:03:50
218,1009,714,36,546,-13,108,17,2023-02-16 15:04:18
215,1018,720,14,477,-30,107,15,2023-02-16 15:05:16
215,988,699,21,506,-12,104,13,2023-02-16 15:09:21
213,972,688,15,517,-11,105,17,2023-02-16 15:11:11
209,944,668,13,525,-22,106,16,2023-02-16 15:18:13
215,1039,735,10,530,-21,110,10,2023-02-16 15:18:48
213,974,689,17,554,-19,105,14,2023-02-16 15:20:17
215,995,704,8,557,-25,109,16,2023-02-16 15:22:19
213,995,704,12,544,-25,108,13,2023-02-16 15:22:51
213,977,691,16,627,-19,109,10,2023-02-16 15:24:21
215,991,701,29,564,-27,110,14,2023-02-16 15:25:18
220,1001,708,6,557,-14,108,15,2023-02-16 15:33:12
224,1077,762,28,548,-19,113,15,2023-02-16 15:33:48
216,1043,738,21,520,-21,105,14,2023-02-16 15:37:15
214,1015,718,17,521,-22,107,14,2023-02-16 15:38:21
212,991,701,-2,527,-17,106,13,2023-02-16 15:38:45
210,938,664,30,548,-19,104,17,2023-02-16 15:40:17
213,972,688,13,558,-18,106,16,2023-02-16 15:40:46
209,972,688,22,579,-25,102,13,2023-02-16 15:43:11
216,1015,718,14,493,-31,107,19,2023-02-16 15:45:47
214,1002,709,14,507,-25,105,13,2023-02-16 15:47:22
202,941,666,21,503,-31,100,14,2023-02-16 15:49:54
218,1042,737,-5,425,-34,107,11,2023-02-16 15:51:43
259,1165,824,1,434,-41,119,15,2023-02-16 15:54:19
227,1029,728,-2,468,-34,107,26,2023-02-16 15:56:15
214,1005,711,24,464,-31,101,19,2023-02-16 16:01:49
219,1022,723,-3,385,-27,102,17,2023-02-16 16:05:22
231,1059,749,-19,448,-32,108,13,2023-02-16 16:07:12
258,1143,809,0,372,-41,113,17,2023-02-16 16:07:40
234,934,661,7,588,-20,100,10,2023-02-16 16:12:40
245,1029,728,3,536,-26,105,14,2023-02-16 16:13:43
235,1104,781,0,356,-41,107,9,2023-02-16 16:14:47
222,1077,762,-4,364,-38,105,9,2023-02-16 16:17:51
245,1068,756,1,440,-38,109,12,2023-02-16 16:18:41
214,1070,757,-6,420,-19,103,11,2023-02-16 16:22:40
234,1104,781,-1,356,-39,108,14,2023-02-16 16:24:19
